Text,Score,Sentiment,clean_text
"I have four kitties that swear by this catnip.  It is their absolute favorite catnip.  Don't know what they put in it, but my cats love it.",5,Positive,four kitties swear catnip absolute favorite catnip know put cats love
"We purchase K-cups from Amazon on a regular basis.  I buy for my family as well as my parents.  We have always been 100% satisfied.<br /><br />First of all, it took a while for us to get our coffee.  We ordered the TW Breakfast Blend as well as some decaf from a different coffee company.  The decaf showed up right away, no problem as usual.  A week later when our TW Breakfast Blend showed up, I opened the cardboard packing box to find 50 k-cups.  That's it, just the K-cups, no packaging, wrapping or anything.  Usually you get 2 boxes of 25 or whatever.  We open one box and put the other away for storage.  Okay, so now I have no place to store this lovely brown packaging box with my 50 loose k-cups.<br /><br />I know it sounds petty but it was just weird.  I was even nervous using them as I was wondering if they were safe????  Coffee is fine, but I've never purchased something, especially a consumable, that wasn't professionally packaged.",3,Neutral,purchase k cups amazon regular basis buy family well parents always satisfied br br first took us get coffee ordered tw breakfast blend well decaf different coffee company decaf showed right away problem usual week later tw breakfast blend showed opened cardboard packing box find k cups k cups packaging wrapping anything usually get boxes whatever open one box put away storage okay place store lovely brown packaging box loose k cups br br know sounds petty weird even nervous using wondering safe coffee fine never purchased something especially consumable professionally packaged
"Nothing particularly special about these biscuits.  You can probably go less expensive for better quality or more expensive for better quality.  Does my dog like them?  Yes, but he also eats everything he can off the sidewalk.",3,Neutral,nothing particularly special biscuits probably go less expensive better quality expensive better quality dog like yes also eats everything sidewalk
"I was greatly looking forward to an occasional hot chocolate treat. This product smelled great dry. Once in water it had no chocolate aroma and was sickeningly sweet with almost no chocolate flavor. It also had some kind of whitish particles floating on top. I guess they were supposed to be ""foamy"" but they looked more like partly dissolved cornstarch or something. I won't drink anymore of it and feel I wasted my money.",1,Negative,greatly looking forward occasional hot chocolate treat product smelled great dry water chocolate aroma sickeningly sweet almost chocolate flavor also kind whitish particles floating top guess supposed foamy looked like partly dissolved cornstarch something drink anymore feel wasted money
"If you like the sweet & salty flavor combination, this is the candy for you. Not an overwhelming bacon flavor -- only in some bites do you really get ""bacon"" more than ""salty"" -- but still a nice change from a regular Hershey bar.",4,Positive,like sweet salty flavor combination candy overwhelming bacon flavor bites really get bacon salty still nice change regular hershey bar
"I used this apple butter in a few cake, granola and chicken recipes. My cakes came out nice and moist, my granola bars were delicious and my family loved this on chicken. I pounded chicken breasts very thin and coated them in apple butter and then rolled them in bread crumbs. I baked them for a half hour at 350 degrees. Delicious. This is a great natural apple butter with no high fructose corn syrup. I highly recommend it!",5,Positive,used apple butter cake granola chicken recipes cakes came nice moist granola bars delicious family loved chicken pounded chicken breasts thin coated apple butter rolled bread crumbs baked half hour degrees delicious great natural apple butter high fructose corn syrup highly recommend
"I have been eating these Haribo Gold-Bears since 1981. 25 YEARS!!! (kinda scary when I think about it!!! LOL) They have not changed at all over the years and I absolutely LOVE THEM. I have tried many other gummy products of varying shapes and flavors, but they simply do not compare to these bears!! The consistency and flavors cannot be beat!<br /><br />Mine, too, were shipped right away ... they must have had them on backorder at one point...",5,Positive,eating haribo gold bears since years kinda scary think lol changed years absolutely love tried many gummy products varying shapes flavors simply compare bears consistency flavors cannot beat br br mine shipped right away must backorder one point
"I love Ghiradelli - and when I couldn't find the chips in my local store, I was delighted to find them online at Amazon.  The chips are fantastic quality, and when I received them in mid-summer in Nebraska (typically 90-100 F) they arrived packaged appropriately were in perfect condition.  The cookies I made didn't last long.",5,Positive,love ghiradelli find chips local store delighted find online amazon chips fantastic quality received mid summer nebraska typically f arrived packaged appropriately perfect condition cookies made last long
"I had a whole case of this to try, so thought it would be fun to try it on as many cats as possible. Thus, by recruiting 5 friends, we ended up trying Petite Cuisine chicken cat food on 13 cats--7 males & 6 females; 4 inside cats, 5 outside & 4 inside/outside. Their ages ranged from 1 year to 16 years. Their weights ranged from 8 pounds to 16 pounds. Twelve of these cats eat Purina One Chicken & Rice dry cat food or Purina One Senior formula, which is a chicken formula. Four of those also eat other types of dry cat food. The sixteen year old cat eats Purina One Salmon & Tuna. Eight of the cats only eat canned tuna or seafood type canned food--namely Meow Mix's Market Select types with no chicken or wheat gluten. The other 5 eat seafood, chicken, turkey or beef canned foods.<br /><br />I was surprised at the results...only one cat, a one year old outside male, of questionable ownership, ate both the Chicken Pot Pie & Chinese Chicken every time he was offered it. Actually, he eats anything he is offered, and is very well fed. He loves meat, too. Another outside cat--a 2 year old male--ate the Chicken Pot Pie every time he was offered it, but would not eat the Chinese Chicken. A third male--a 16 pound inside/outside orange tabby--would consume all the juice of the Chicken Pot Pie, and would eat only some of the chicken. Most of the other cats would also consume the broth of the Chicken Pot Pie, but would not touch the meat. The Chicken Pot Pie has lots of broth, which I think is brilliant, since all the cats I know always like the broth of canned cat food or tuna best.<br /><br />I don't know why this canned cat food was not better liked. It has great ingredients and smells like human food. I hope to try Petite Cuisine seafood catfood one day...I think they all might like that much better.",3,Neutral,whole case try thought would fun try many cats possible thus recruiting friends ended trying petite cuisine chicken cat food cats males females inside cats outside inside outside ages ranged year years weights ranged pounds pounds twelve cats eat purina one chicken rice dry cat food purina one senior formula chicken formula four also eat types dry cat food sixteen year old cat eats purina one salmon tuna eight cats eat canned tuna seafood type canned food namely meow mix market select types chicken wheat gluten eat seafood chicken turkey beef canned foods br br surprised results one cat one year old outside male questionable ownership ate chicken pot pie chinese chicken every time offered actually eats anything offered well fed loves meat another outside cat year old male ate chicken pot pie every time offered would eat chinese chicken third male pound inside outside orange tabby would consume juice chicken pot pie would eat chicken cats would also consume broth chicken pot pie would touch meat chicken pot pie lots broth think brilliant since cats know always like broth canned cat food tuna best br br know canned cat food better liked great ingredients smells like human food hope try petite cuisine seafood catfood one day think might like much better
"These cornflakes are just that, tasty and crispy.  They do get soggy pretty quickly.  We crush these flakes and use them as a coating for chicken when baking it.",5,Positive,cornflakes tasty crispy get soggy pretty quickly crush flakes use coating chicken baking
I was surprised how a cereal loaded with fiber and other good stuff could taste so good.  Compare the sugar content with other name bran raisin brands and this cereal comes up a winner.,5,Positive,surprised cereal loaded fiber good stuff could taste good compare sugar content name bran raisin brands cereal comes winner
"My best friend returned to Japan and I felt that unless I went to a Japanese restaurant, I would never, ever have real miso soup.<br /><br />I tried every paste, every color. I tried making my miso with and without wakame; I even tried mixing the pastes and still could not get it right.<br /><br />I FINALLY got it! I didn't even intend to order Hon Dashi, had it on my wish list, but it was the best mistake I could make.<br /><br />I'll be experimenting with my dashi to see what else I can add it to. The smokey flavor is superb.",5,Positive,best friend returned japan felt unless went japanese restaurant would never ever real miso soup br br tried every paste every color tried making miso without wakame even tried mixing pastes still could get right br br finally got even intend order hon dashi wish list best mistake could make br br experimenting dashi see else add smokey flavor superb
"Very very good oatmeal. I bought this because I couldn't find the Apple cinnamon Kashi at my local store and thought maybe this would taste good even though it doesn't have anything in it (Amazon says it has raisins in the description, no it doesn't.). Anyways this oatmeal is very good, it's not overly sweet at all like Quakers oatmeal, but it's still sweet and not bland. I add my OWN raisins to this to get some extra texture in there and it works out great. It's way better than the apple cinnamon kind.",5,Positive,good oatmeal bought find apple cinnamon kashi local store thought maybe would taste good even though anything amazon says raisins description anyways oatmeal good overly sweet like quakers oatmeal still sweet bland add raisins get extra texture works great way better apple cinnamon kind
"Best tasting Hazelnut coffee I have found in a k-cup.  Wish it was sold in an 80 pack, instead of 50.",5,Positive,best tasting hazelnut coffee found k cup wish sold pack instead
Love this on pretzels.  The best combination is home baked cheese stuffed pretzels with a drizzle of this mustard.  What a treat.,5,Positive,love pretzels best combination home baked cheese stuffed pretzels drizzle mustard treat
These are great for your dogs teeth.  Recommended by my Vet.  She loves them!!!  Try them.  Your dog will love them too.,5,Positive,great dogs teeth recommended vet loves try dog love
"As the title says, this is great gum for the price. I would recommend that you try a pack of this flavor at the store to make sure that you like it, but when you go through as much gum as my family does, these 4 pack 'tubs' are great.<br /><br />The flavor is minty and lasts quite a while. Yum!",5,Positive,title says great gum price would recommend try pack flavor store make sure like go much gum family pack tubs great br br flavor minty lasts quite yum
I LOVE LifeSavers Wild Cherry.  It's the best.  No store sells it often so it's wonderful to get it through you.  Thanks a bunch.,5,Positive,love lifesavers wild cherry best store sells often wonderful get thanks bunch
"Great product, worked out really well, my wife loves the taste.<br />All of the Red Mill products are fantastic.",4,Positive,great product worked really well wife loves taste br red mill products fantastic
"I purchased this in the 6pack and it is wonderful !!! You only need a little bit with whatever you are using it for, I use it in my coffee. You will be grateful that you bought this one  instead of another brand !!!",5,Positive,purchased pack wonderful need little bit whatever using use coffee grateful bought one instead another brand
"This is among one of my favorites out of the other Gold Kili drinks. Since it's sweetened with honey, the taste is more natural and I don't feel as bad drinking a lot of it. I mostly drink it cold, like any other beverage, but it's also good when hot. I think it's the best remedy when I get indigestion; it's very soothing and really settles my stomach.",5,Positive,among one favorites gold kili drinks since sweetened honey taste natural feel bad drinking lot mostly drink cold like beverage also good hot think best remedy get indigestion soothing really settles stomach
"I bought 3 doggy products at the same time (all treat dispensing chew toys). This is my recommendation of the best product of the 3.<br /><br />I bought the Premier Twist and Treat Dog Toy along with a KONG classic and Premier Tug a Jug for my 3 month old, 4lb Morkie. My dog doesn't play with the latter 2, but LOVES the twist and treat! It's easy to twist the top off and insert the treats and to twist it down to the size you want to get it to dispense. Smoothie quickly learned how to dispense the treats, so we have it on its tightest setting (puppy chow is pretty small, so easy to get out). He chases and bats this all over the living room.<br /><br />He played with the classic Kong once, but because it dispenses the treats so quickly, he soon lost interest and went back to the twist and treat.<br /><br />He tries to play with the Tug a Jug, but he can never get anything out and quickly tires of it and goes back to the twist and treat.<br /><br />Of the 3, the twist and treat gets the most use, its the easiest to clean, is hardy, has the best movement for him to chase around, & is the perfect size for a toy dog.<br /><br />So, if you're looking to keep your dog entertained, don't waste money buying a bunch of products, just get the twist and treat. Both you and your pup will be pleased with it.<br /><br />21 March 2012 Update<br /><br />I have since removed the back end of the jug and my dog will now play with it, in fact he expects for me to put all his food in it so he can chase it around and dig them out with his paws and nose. That said, this is the only way for him to use the jug, so still not fulfilling its intended purpose or use. Cleaning if course is a pain.",3,Neutral,bought doggy products time treat dispensing chew toys recommendation best product br br bought premier twist treat dog toy along kong classic premier tug jug month old lb morkie dog play latter loves twist treat easy twist top insert treats twist size want get dispense smoothie quickly learned dispense treats tightest setting puppy chow pretty small easy get chases bats living room br br played classic kong dispenses treats quickly soon lost interest went back twist treat br br tries play tug jug never get anything quickly tires goes back twist treat br br twist treat gets use easiest clean hardy best movement chase around perfect size toy dog br br looking keep dog entertained waste money buying bunch products get twist treat pup pleased br br march update br br since removed back end jug dog play fact expects put food chase around dig paws nose said way use jug still fulfilling intended purpose use cleaning course pain
"I typically purchase my favorite ""grocery store"" brands in whole bean form and grind them myself on my burr grinder.  My typical brands are Peet's House Blend or Newman's Organic in a medium roast, as well as the occasional bag of Starbucks or Green Mountain.  Thumbing through Amazon, I was intrigued by the Melitta Cafe Collection Classique Supreme Ground Coffee, and its extra fine grind, so I decided to give it a try.<br /><br />I was very pleasantly surprised by the Melitta.  The coffee was darker and more opaque than normal, no doubt due to the finer grind.  The aroma was very rich and robust.  The taste is actually much better than I am used to - a rich, refined roast with a smooth mouthfeel.  I find it to be much better than Millstone and equivalents.<br /><br />After trying this coffee, I am placing an order for 3 more bags.  I definitely recommend trying a bag of this coffee!",5,Positive,typically purchase favorite grocery store brands whole bean form grind burr grinder typical brands peet house blend newman organic medium roast well occasional bag starbucks green mountain thumbing amazon intrigued melitta cafe collection classique supreme ground coffee extra fine grind decided give try br br pleasantly surprised melitta coffee darker opaque normal doubt due finer grind aroma rich robust taste actually much better used rich refined roast smooth mouthfeel find much better millstone equivalents br br trying coffee placing order bags definitely recommend trying bag coffee
I wanted to like this. I really did. The flavor was wonderful but it made my stomach feel awful and gave me a pit in the bottom of my stomach each time I ate it. Overall it is a great flour but it isn't right for sensitive stomachs and was very harsh overall. Flavor was also very sweet and made the bread I made taste like it has honey added.<br /><br />I wish this would have worked for me because it baked very well.,2,Negative,wanted like really flavor wonderful made stomach feel awful gave pit bottom stomach time ate overall great flour right sensitive stomachs harsh overall flavor also sweet made bread made taste like honey added br br wish would worked baked well
"I was ordering for my son who is out of state at college. He said he wanted a ""healthy cookie."" We thought Nilla wafers would be what he needed. He said they were delicious!<br /><br />If you have a child away from home, this is a very convenient way of sending a care package. Leave the work to Amazon.<br /><br />My son and I were actually shopping online together and talking on the cell phone. All I had to do was pay and click send.<br /><br />This is perfect for busy Moms who have children far away.",5,Positive,ordering son state college said wanted healthy cookie thought nilla wafers would needed said delicious br br child away home convenient way sending care package leave work amazon br br son actually shopping online together talking cell phone pay click send br br perfect busy moms children far away
"I am not a picky eater and generally like most of the meal replacement and snack bars that I've tried, but these had a really unpleasant taste at the end, and the texture was not good either. Unfortunately, I now have a box with 9 remaining bars that I would not eat under any circumstances.",1,Negative,picky eater generally like meal replacement snack bars tried really unpleasant taste end texture good either unfortunately box remaining bars would eat circumstances
"This granola has all the right ingredients - nuts, coconut, chocolate. I add it to FAGE for a guiltless snack",5,Positive,granola right ingredients nuts coconut chocolate add fage guiltless snack
"The flavor is very rich, but cripes is it potent.  You only use about 1/3 the quantity to get the same strength.  The flavor is somewhat like chocolate, not bitter at all.  Chicory is not coffee, hence no caffeine, which is either good or bad, depending on your preference.  Overall, I like the flavor, just be careful when you start to make it.  If you put in the same quantities as regular coffee, it will turn out like syrup.",3,Neutral,flavor rich cripes potent use quantity get strength flavor somewhat like chocolate bitter chicory coffee hence caffeine either good bad depending preference overall like flavor careful start make put quantities regular coffee turn like syrup
"I was surprised to see that I purchased these less than two weeks ago. They're GONE, all gone!<br /><br />I thought I would put them in granola, yoghurt, etc and I did ...once or twice... but I just ended up eating handful upon handful.<br /><br />I like to chew ;) And after a friend of mine asked me if I'd ever had ""Jolly Ranchers' jelly beans -- which I am sure are great -- I declared that these are nature's jelly beans!<br /><br />And boy nature done good.<br /><br />Thus I am here to purchase more and am subscribing for them monthly for now... at least until my addiction slows and I can make these last more than a couple weeks!",5,Positive,surprised see purchased less two weeks ago gone gone br br thought would put granola yoghurt etc twice ended eating handful upon handful br br like chew friend mine asked ever jolly ranchers jelly beans sure great declared nature jelly beans br br boy nature done good br br thus purchase subscribing monthly least addiction slows make last couple weeks
Truthfully wasn't crazy about the taste of these but reason for the low rating is more to post a heads up warning. I noticed a trend in drinking this with a headache response. From an old neck injury I could get headaches from reinjuring or aggravating it. This tea triggered that same response which was very surprising. It made me think that many people could be triggering similar inflammation without ever tracing it back to the tea.  So just heads up if you are susceptible to this type of pain.,1,Negative,truthfully crazy taste reason low rating post heads warning noticed trend drinking headache response old neck injury could get headaches reinjuring aggravating tea triggered response surprising made think many people could triggering similar inflammation without ever tracing back tea heads susceptible type pain
"Nugo bars are the best nutrition bars out there. I am not sure they call them that but I usually have a Nugo bar every other day for lunch and they are satisfying and taste better than other bars I have tried. I think these are excellent and if you like dark chocolate you will like these. They do make a milk chocolate peanut butter bar too but I am not fond of milk chocolate and did try them. The Nugo bars have helped me lose 60lbs and hopefully will help me keep those pounds off. If you are young and active, these would be good to take biking, hiking etc(in cooler weather). When I bike, I use the vanilla ones which are also good. Don't think you can go wrong with Nugo bars. One thing, I have found them usually cheaper at a grocery store but occasionally Amazon does offer them at the same or slightly lower price but if you live where they aren't available then I would certainly recommend getting them from Amazon.",5,Positive,nugo bars best nutrition bars sure call usually nugo bar every day lunch satisfying taste better bars tried think excellent like dark chocolate like make milk chocolate peanut butter bar fond milk chocolate try nugo bars helped lose lbs hopefully help keep pounds young active would good take biking hiking etc cooler weather bike use vanilla ones also good think go wrong nugo bars one thing found usually cheaper grocery store occasionally amazon offer slightly lower price live available would certainly recommend getting amazon
PB2 is a GREAT product.  I love peanut butter but I don't love the fat so I never buy it.  PB2 is a powdered peanut butter to which you just add water.  You can add a little less or little more water depending on the consistency you want.  It tastes just like peanut butter but has only 45 calories for a 2 tablespoon serving.  What's not to like?,5,Positive,pb great product love peanut butter love fat never buy pb powdered peanut butter add water add little less little water depending consistency want tastes like peanut butter calories tablespoon serving like
I love the Peach Flavor .... but every-other can rates different. I tried different flavors with the same result.<br />It does taste great when they get it right.,2,Negative,love peach flavor every rates different tried different flavors result br taste great get right
"I was a bit skeptical when I read the reviews saying this was hard to mix. As soon as it arrived I mixed up a cup of it and it was easy to mix. I always use this method to mix powdered milk. Use room temperature water, and put it in a 1 quart canning jar, with the powdered milk. Put on a lid and SHAKE hard! It's so easy and I never have a bunch of clumps. I had previously bought Now Foods soy milk and it had lots of reviews of clumpy mixture/hard to mix too but I never had a problem using this method mixing the soy milk either. I am SO glad I tried this milk though. I like the taste much better than the soy milk I was buying. My daughter has a dairy sensitivity and often children with a dairy sensitivity have a soy allergy/sensitivity too. So I wanted to try some rice milk instead of soy. This milk tastes good and doesn't seem as thin as the variety I was buying in the store. This was cheaper and better tasting!",5,Positive,bit skeptical read reviews saying hard mix soon arrived mixed cup easy mix always use method mix powdered milk use room temperature water put quart canning jar powdered milk put lid shake hard easy never bunch clumps previously bought foods soy milk lots reviews clumpy mixture hard mix never problem using method mixing soy milk either glad tried milk though like taste much better soy milk buying daughter dairy sensitivity often children dairy sensitivity soy allergy sensitivity wanted try rice milk instead soy milk tastes good seem thin variety buying store cheaper better tasting
"I believe Tinkyada is the gold standard for gluten free noodles.  I love their products and find that most people will not notice a significant difference using them in recipes.  The tricks to cooking gluten free noodles is to cook with a dash of olive oil in the water to prevent sticking and when done (take one out and cut it and then taste it to be sure) to rinse them extremely well with HOT tap water, then drain and SERVE immediately or add to your favorite dish or casserole.<br /><br />Please note that when using frozen gluten free noodle leftovers, expect the noodles to break up and disintegrate when recooked.  Leftovers are better used in the first two days refrigerated than frozen.",5,Positive,believe tinkyada gold standard gluten free noodles love products find people notice significant difference using recipes tricks cooking gluten free noodles cook dash olive oil water prevent sticking done take one cut taste sure rinse extremely well hot tap water drain serve immediately add favorite dish casserole br br please note using frozen gluten free noodle leftovers expect noodles break disintegrate recooked leftovers better used first two days refrigerated frozen
"Second strike for Dr. McDougall's.  Love the pilaf and tortilla soup, hate the ramen and pad thai.  So mushy, salty and disgusting with a weird chemical taste.  I'm so glad that my Publix carries the nearly complete line of Dr. McDougall's products.  I would kick my own butt for buying this product in bulk.",2,Negative,second strike dr mcdougall love pilaf tortilla soup hate ramen pad thai mushy salty disgusting weird chemical taste glad publix carries nearly complete line dr mcdougall products would kick butt buying product bulk
This is great popcorn and I too have the Whirly Pop. The 4oz packs work wonderfully. I have not found it too salty or the packages leak. I have found the recent price of $35 too expensive and have purchased direct from Great American for half the price.,5,Positive,great popcorn whirly pop oz packs work wonderfully found salty packages leak found recent price expensive purchased direct great american half price
"I'm an avid chai drinker--many different varieties of both lattes and straight black tea.  We purchased this product because we noticed that the Cafe Escapes chai lattes--a sweeter, creamier blend--did not actually have much black tea in it, and we still wanted our morning caffeine.  Neither my husband nor I could finish one mug of this stuff, and we will end up getting rid of the box.  It was that awful. There was none of the subtle spice blending--just a watery slightly clove-tasting flavor undercut by a bitterness that almost had hints of coffee. Adding a little milk, as we usually do, didn't help at all.  If you enjoy chai, I'd recommend Bigalow or Tazo and skip this one.",1,Negative,avid chai drinker many different varieties lattes straight black tea purchased product noticed cafe escapes chai lattes sweeter creamier blend actually much black tea still wanted morning caffeine neither husband could finish one mug stuff end getting rid box awful none subtle spice blending watery slightly clove tasting flavor undercut bitterness almost hints coffee adding little milk usually help enjoy chai recommend bigalow tazo skip one
"I do a lot of driving for my work, and a lot of visiting other businesses.  I also drive a manual transmission, sometimes in heavy traffic.  It's not always the greatest idea to be driving in heavy traffic with one hand on the wheel, one on a cup of coffee, and needing to shift, or to be wandering around in a clients place of business.<br /><br />Jolt gum tastes pretty much like any other minty gum (there is a bit of a difference, but it is not unpleasant), but has just enough caffeine in it to keep me going!  It's great stuff, and I highly recommend it.",4,Positive,lot driving work lot visiting businesses also drive manual transmission sometimes heavy traffic always greatest idea driving heavy traffic one hand wheel one cup coffee needing shift wandering around clients place business br br jolt gum tastes pretty much like minty gum bit difference unpleasant enough caffeine keep going great stuff highly recommend
Bought these for my mother in law for Mothers Day 2011. They arrived within 3 days of me placing the order and looked great. Highly recommend!,5,Positive,bought mother law mothers day arrived within days placing order looked great highly recommend
"Fee Brothers is known for their bitters - stick with that. i tried the orange blossom water - it smells bitter, not floral. And it's so diluted that it completely disappears in any cocktail. There are many better brands out there.",1,Negative,fee brothers known bitters stick tried orange blossom water smells bitter floral diluted completely disappears cocktail many better brands
I don't really like garbanzo beans and found a recipe for traditional hummus using these beans. They cooked easily and the hummus was great.,5,Positive,really like garbanzo beans found recipe traditional hummus using beans cooked easily hummus great
The Senseo is a great machine when you don't have time to make and enjoy a pot. I still enjoy the weekend pot of coffee however this is great for a quick fix.<br /><br />The reason I give the Dark Roast the 5 stars is because its the fullest flavored product they currently have. If you thought the other flavors were just too weak try this one.,5,Positive,senseo great machine time make enjoy pot still enjoy weekend pot coffee however great quick fix br br reason give dark roast stars fullest flavored product currently thought flavors weak try one
I do not like this cereal. Added milk and sugar and still no good.  The bag is also too big,2,Negative,like cereal added milk sugar still good bag also big
You never know with these natural sodas how they are going to taste.  My whole family loves these and the small sized can is perfect for an after school snack with some cheddar bunnies.,5,Positive,never know natural sodas going taste whole family loves small sized perfect school snack cheddar bunnies
"*SAMPLE PROVIDED BY MANUFACTURER*<br /><br />I have to agree with most all of the reviewers here.  There is no way that an unflavored non-iced coffee wouldn't work as well or even better than using this flavored product.  I used the 6 oz.cup size to prepare this, and I was amazed at how flavorless and watered down this product was even before  adding my cream and sugar.<br /><br />I can small the vanilla scent but I cannot taste it and there is no sweetness to this product.",2,Negative,sample provided manufacturer br br agree reviewers way unflavored non iced coffee work well even better using flavored product used oz cup size prepare amazed flavorless watered product even adding cream sugar br br small vanilla scent cannot taste sweetness product
"I have tried lots of biodegradable dog waste bags and love the composting capability of them.<br /><br />I recently purchased the BioBags and found a major problem with them, after being ""filled"" the bottoms tend to rip open.  Before you know it you have a big mess.<br />Since I have 4 boxes worth, I have been double bagging and found sometimes that both bags rip open. I hope this is just a bad batch from the manufacturer.  But I am not going to purchase these again.  It is a huge waste to use 2-3 bags per use and I know I am going to upset my neighbors if I have to leave the mess on the street after a bag breaks open.<br /><br />I am going back to some of the other brands that are more durable, even if they cost a little more.",2,Negative,tried lots biodegradable dog waste bags love composting capability br br recently purchased biobags found major problem filled bottoms tend rip open know big mess br since boxes worth double bagging found sometimes bags rip open hope bad batch manufacturer going purchase huge waste use bags per use know going upset neighbors leave mess street bag breaks open br br going back brands durable even cost little
I was at a playgroup last week and a mom pulled this out of her bag.  I couldn't believe it when her son downed the entire package!  I decided we had to try it.  As a fan of other Happy Family Products - I knew it was healthy - but I was still skeptical that I could get my family to eat something with kale. I mixed it in a blender with yogurt to make a smoothie -- even my husband commented on how yummy it was!  We are hooked!!! The texture is smooth and the container is super easy to use and store.,5,Positive,playgroup last week mom pulled bag believe son downed entire package decided try fan happy family products knew healthy still skeptical could get family eat something kale mixed blender yogurt make smoothie even husband commented yummy hooked texture smooth container super easy use store
"All of the flavor of MW without the fat!  I will never buy another ""mayonaisse"" again if I can help it",5,Positive,flavor mw without fat never buy another mayonaisse help
"These are not good cat treats.  Cats should not have veggies, herbs, and vegetable proteins or vegetable oils.  These have Peas, Sunflower Oil, Pea Fiber, Natural Flavors, Apples, Carrots, Cottage Cheese, all detrimental items for a cat's system.  When will these companies ever learn, read the research.",1,Negative,good cat treats cats veggies herbs vegetable proteins vegetable oils peas sunflower oil pea fiber natural flavors apples carrots cottage cheese detrimental items cat system companies ever learn read research
